name,record,fighter_url,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
John Dodson,22-12-0,http://ufcstats.com/fighter-details/99506df1af6c8b3b,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.2,40,3.58,61,0.71,28,82,0.0
Joe Doerksen,51-16-0,http://ufcstats.com/fighter-details/dbaaf42313af90fa,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42,2.79,50,2.02,33,33,2.3
Mike Dolce,5-10-0,http://ufcstats.com/fighter-details/29b5791e51e7e832,"5' 11""",185 lbs.,--,,"Apr 15, 1976",0.0,0,0.0,0,0.0,0,0,0.0
Roman Dolidze,15-4-0,http://ufcstats.com/fighter-details/327d5f279895110d,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",3.41,41,3.72,48,0.99,39,26,0.8
Cameron Dollar,11-5-0,http://ufcstats.com/fighter-details/3bbcd63a016d9715,"5' 11""",155 lbs.,--,Orthodox,"May 12, 1987",5.04,38,2.94,61,0.0,0,0,0.0
CB Dollaway,17-9-0,http://ufcstats.com/fighter-details/5d7bdab5e03e3216,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47,2.58,54,3.55,54,62,1.2
Dennis Dombrow,7-5-0 (1 NC),http://ufcstats.com/fighter-details/4145caa2c999fbac,--,145 lbs.,--,,"Mar 17, 1986",0.0,0,0.0,0,0.0,0,0,0.0
OJ Dominguez,0-1-0,http://ufcstats.com/fighter-details/1a50e734bb54861a,--,--,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
John Donaldson,2-2-0,http://ufcstats.com/fighter-details/1c610f900f9884ab,"5' 8""",145 lbs.,--,,"Jul 09, 1992",1.21,23,4.22,51,0.0,0,0,0.0
Daniil Donchenko,14-2-0,http://ufcstats.com/fighter-details/70dd69b6a703257e,"5' 11""",170 lbs.,"71""",Orthodox,"Aug 04, 2001",7.15,60,2.57,72,0.77,33,75,0.0
Dong Huaxiang,12-3-0,http://ufcstats.com/fighter-details/bad82b681819b272,"5' 3""",115 lbs.,"61""",Switch,"Aug 21, 1998",3.5,59,3.13,65,4.0,44,100,0.0
Cody Donovan,8-5-0,http://ufcstats.com/fighter-details/7bc96507e4b38d3b,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59,5.44,45,1.67,28,0,1.7
Houston Dorr,1-2-0,http://ufcstats.com/fighter-details/312f47c3d2f83ffa,"6' 1""",210 lbs.,--,Orthodox,--,0.0,0,0.0,0,0.0,0,0,0.0
Rafael Dos Anjos,32-17-0,http://ufcstats.com/fighter-details/6a2f7c151031653d,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.48,47,3.23,60,1.95,35,54,0.6
Junior Dos Santos,21-9-0,http://ufcstats.com/fighter-details/63def5a5662a6917,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47,3.33,56,0.3,50,81,0.1
Geronimo dos Santos,39-19-0,http://ufcstats.com/fighter-details/b51f6791c794e289,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980",1.09,33,8.73,41,0.0,0,33,0.0
Antonio Dos Santos,6-4-0,http://ufcstats.com/fighter-details/81b8b3fb019dc69d,"5' 10""",185 lbs.,--,Orthodox,"Jul 21, 1988",5.4,51,3.94,43,0.0,0,100,0.0
Anderson Dos Santos,21-9-0,http://ufcstats.com/fighter-details/bbc9ab95fa766493,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.7,25,5.37,49,0.98,14,66,0.7
Acacio Dos Santos,14-5-0,http://ufcstats.com/fighter-details/957562fdf68a725a,"6' 4""",205 lbs.,"79""",Orthodox,"Sep 29, 1991",1.27,41,1.4,43,0.0,0,31,0.0
Rayanne dos Santos,14-9-0,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,"5' 2""",115 lbs.,"62""",Orthodox,"Jun 08, 1995",4.57,40,6.47,59,0.5,14,80,0.0
Felipe dos Santos,8-3-0 (1 NC),http://ufcstats.com/fighter-details/5cdf5339728f580d,"5' 7""",125 lbs.,"70""",Orthodox,"Sep 11, 2000",3.75,39,3.8,41,0.0,0,20,0.5
Tiago dos Santos e Silva,20-7-2 (1 NC),http://ufcstats.com/fighter-details/8ce87f7e3a9baed2,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35,4.23,59,0.63,11,33,0.3
Oleksandr Doskalchuk,10-2-0,http://ufcstats.com/fighter-details/86cb6f5b1ca98dc0,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990",0.0,0,0.0,0,0.0,0,0,0.0
David Douglas,9-7-0,http://ufcstats.com/fighter-details/7cf0944b88966118,"5' 11""",155 lbs.,--,,"Aug 16, 1981",0.0,0,0.0,0,0.0,0,0,0.0
Damion Douglas,4-1-0,http://ufcstats.com/fighter-details/ce3b669e39418414,--,170 lbs.,--,,"Aug 16, 1982",0.0,0,0.0,0,0.0,0,0,0.0
Lerryan Douglas,13-5-0,http://ufcstats.com/fighter-details/640a0f838f057a81,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 27, 1995",11.67,87,5.0,66,0.0,0,0,0.0
Cedric Doumbe,2-0-0,http://ufcstats.com/fighter-details/5159e6ee100c717e,"5' 10""",170 lbs.,--,,"Aug 13, 1992",0.0,0,0.0,0,0.0,0,0,0.0
John Dowdy,0-1-0,http://ufcstats.com/fighter-details/e780ccc79a209985,--,--,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Jordan Dowdy,4-3-0,http://ufcstats.com/fighter-details/0d9312337fdce39a,--,170 lbs.,--,,--,2.11,44,2.63,50,0.0,0,0,0.0
Danny Downes,8-3-0,http://ufcstats.com/fighter-details/a66395395b5f1394,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,34,3.53,37,0.0,0,37,0.5
Derek Downey,11-4-0,http://ufcstats.com/fighter-details/b05086131c6f5dc5,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980",0.32,100,3.36,12,2.4,16,0,0.0
John Doyle,11-22-0 (1 NC),http://ufcstats.com/fighter-details/0509b954421bb327,"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976",3.5,44,10.51,27,0.0,0,0,0.0
Edson Drago,11-7-0,http://ufcstats.com/fighter-details/f9c7fe2682af3802,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977",1.16,40,2.39,36,0.0,0,55,0.0
Jimmy Drago,7-3-0 (1 NC),http://ufcstats.com/fighter-details/cb4bf812d9cb78b4,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 18, 1995",3.8,29,5.6,65,1.0,50,0,0.0
Anthony Drilich,8-2-0,http://ufcstats.com/fighter-details/c2c4052f58f54988,"5' 5""",125 lbs.,"65""",Southpaw,"Mar 17, 1994",5.8,31,5.07,40,0.0,0,55,0.0
Kyle Driscoll,12-3-0,http://ufcstats.com/fighter-details/e5e148d4363deff8,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,32,2.6,58,2.0,18,0,0.0
Chris Drumm,0-1-0 (1 NC),http://ufcstats.com/fighter-details/5fd834edd92c9e50,"5' 8""",145 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Tomasz Drwal,21-5-1,http://ufcstats.com/fighter-details/679a9054e2815943,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38,2.26,57,3.55,60,82,0.4
Robert Drysdale,7-0-0 (1 NC),http://ufcstats.com/fighter-details/d2a9be6bf2de624c,"6' 3""",205 lbs.,--,Orthodox,"Oct 05, 1981",0.0,0,0.0,0,7.32,100,0,21.9
Dricus Du Plessis,23-3-0,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",5.18,48,4.33,52,2.22,51,34,0.7
Hugo Duarte,6-3-0,http://ufcstats.com/fighter-details/706404da0775dcbc,"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968",0.0,0,0.0,0,0.0,0,0,0.0
Antonio Duarte,19-7-0,http://ufcstats.com/fighter-details/29b5d32584e02d8d,"5' 7""",135 lbs.,--,,"Mar 10, 1987",4.55,40,4.18,57,0.0,0,60,0.0
Joe Duarte,10-4-0,http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3,--,155 lbs.,--,,"Jan 25, 1977",2.27,38,4.0,53,3.0,50,69,1.0
Yuneisy Duben,6-1-0 (1 NC),http://ufcstats.com/fighter-details/c3d2b9bcb4cead6b,"5' 4""",125 lbs.,"65""",Orthodox,"Jul 08, 1996",13.53,48,10.75,53,0.0,0,0,0.0
Matthieu Duclos,6-3-0,http://ufcstats.com/fighter-details/ec322adbabbfa6e7,"6' 3""",185 lbs.,"77""",Orthodox,"Apr 04, 1995",3.93,37,6.81,46,0.0,0,100,0.0
Emily Ducote,13-9-0,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",7.45,52,7.84,57,0.2,14,94,0.0
Viktoriia Dudakova,8-2-0,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 26, 1999",2.87,47,3.4,50,2.73,35,33,0.0
Milana Dudieva,11-6-0,http://ufcstats.com/fighter-details/072a10e85f7d4bff,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989",0.87,31,3.43,58,2.34,45,0,0.0
Adin Duenas,6-1-0,http://ufcstats.com/fighter-details/cb6c45b26b0a877a,"5' 6""",145 lbs.,--,,"Jul 02, 1988",0.0,0,0.0,0,0.0,0,0,0.0
Todd Duffee,9-3-0 (1 NC),http://ufcstats.com/fighter-details/bda04c573563cc2e,"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,37,2.87,56,0.72,25,90,0.0
Joe Duffy,16-5-0,http://ufcstats.com/fighter-details/654ae722109a0d31,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34,3.78,54,0.96,66,64,0.7
Jack Duffy,7-1-0,http://ufcstats.com/fighter-details/cea51876d8a514a0,"5' 7""",125 lbs.,"69""",Switch,"Oct 02, 1995",5.07,69,2.13,52,0.0,0,62,0.0
Alexis Dufresne,6-3-0,http://ufcstats.com/fighter-details/4ae4049426e0161d,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",1.33,27,3.33,60,1.5,50,50,0.0
Jessamyn Duke,3-5-0 (1 NC),http://ufcstats.com/fighter-details/a7ddae0be8b78147,"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",4.83,53,4.43,57,1.27,36,50,1.9
Islam Dulatov,12-1-0,http://ufcstats.com/fighter-details/e803242fb2e41112,"6' 3""",170 lbs.,"75""",Orthodox,"Aug 02, 1998",8.78,54,4.24,50,2.2,100,100,0.0
Isaac Dulgarian,7-2-0,http://ufcstats.com/fighter-details/a57cb948c4c70a47,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 04, 1996",2.99,63,1.65,40,4.57,50,0,1.8
Kelly Dullanty,4-2-0,http://ufcstats.com/fighter-details/1a225f04aa6e0739,"5' 8""",155 lbs.,--,Orthodox,"Nov 04, 1977",0.0,0,0.67,75,0.0,0,66,0.0
Sedriques Dumas,10-4-0 (1 NC),http://ufcstats.com/fighter-details/4e6738062d469256,"6' 2""",185 lbs.,"79""",Orthodox,"Aug 06, 1995",2.0,44,2.41,55,1.34,31,33,0.2
Norma Dumont,13-2-0,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",3.89,50,2.12,65,1.56,56,68,0.0
Chris Duncan,15-2-0,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",5.02,46,4.82,51,3.27,42,50,0.7
Christian Leroy Duncan,13-2-0,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",4.6,58,2.97,51,0.4,20,69,0.0
Evan Dunham,18-9-1,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39,3.54,61,1.82,33,79,1.0
Alex Dunworth,2-2-0 (1 NC),http://ufcstats.com/fighter-details/31732a614e7a3d1d,"5' 8""",155 lbs.,--,,--,1.94,31,8.71,35,0.0,0,50,0.0
Tom Duquesnoy,16-2-0 (1 NC),http://ufcstats.com/fighter-details/e979c76341f19b22,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",3.83,45,5.3,62,0.42,25,46,0.0
Albert Duraev,16-5-0,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",2.99,40,3.01,59,1.97,29,66,0.6
Reuben Duran,11-7-1,http://ufcstats.com/fighter-details/4417980b3e798abf,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",3.19,49,2.61,50,0.98,23,25,0.7
Cody Durden,17-10-1,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.34,44,4.19,50,3.89,46,60,0.6
Luiz Dutra,13-6-1,http://ufcstats.com/fighter-details/2153a7f8396a46cc,"5' 11""",170 lbs.,--,Orthodox,"May 06, 1982",3.92,50,4.8,41,0.0,0,100,0.0
Rilley Dutro,11-4-0,http://ufcstats.com/fighter-details/43db649da89fac4b,"5' 8""",125 lbs.,--,Orthodox,"Sep 03, 1987",4.74,54,5.95,33,0.0,0,83,0.0
Bill Duvall,1-2-0,http://ufcstats.com/fighter-details/7df4d3c38792b083,"6' 2""",185 lbs.,--,Southpaw,--,0.0,0,2.4,40,0.0,0,0,0.0
Merab Dvalishvili,21-5-0,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.42,41,2.8,54,5.97,35,76,0.3
David Dvorak,20-6-0,http://ufcstats.com/fighter-details/9ada30894bf04e19,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",3.48,43,3.29,59,0.58,30,70,0.2
Matt Dwyer,9-4-0,http://ufcstats.com/fighter-details/8f0d576beba1cfcd,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34,3.24,54,0.44,10,60,0.0
Rolando Dy,9-7-1 (1 NC),http://ufcstats.com/fighter-details/55ed59d541f8b90c,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37,4.47,52,0.3,20,68,0.0
Shanelle Dyer,6-1-0,http://ufcstats.com/fighter-details/cfbb3edab781dfd2,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 23, 2001",7.67,41,7.8,44,0.0,0,0,0.0
Ben Earwood,12-3-0,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,"5' 8""",170 lbs.,--,Orthodox,--,0.5,55,0.2,33,3.0,100,0,0.0
Cody East,12-3-0,http://ufcstats.com/fighter-details/5713c1d2fac539ac,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",4.15,43,7.32,40,3.97,100,16,0.0
Marvin Eastman,18-15-1,http://ufcstats.com/fighter-details/05866d8c3a321856,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,35,3.92,42,1.38,33,81,0.0
Mike Easton,13-6-0,http://ufcstats.com/fighter-details/bc7230f231701d66,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",3.51,37,4.28,61,0.75,22,66,0.0
Maurice Eazel,7-15-0,http://ufcstats.com/fighter-details/4acb99524a9a81ab,"5' 7""",135 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Vincent Eazelle,9-2-0,http://ufcstats.com/fighter-details/ec421d5de0aea624,"5' 11""",155 lbs.,--,,"Dec 07, 1980",0.0,0,0.0,0,0.0,0,0,0.0
Ross Ebanez,20-10-0 (3 NC),http://ufcstats.com/fighter-details/a5b0bd216d8ba84e,"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",0.74,50,0.74,62,3.7,100,0,0.0
Brian Ebersole,51-18-1 (1 NC),http://ufcstats.com/fighter-details/32ba186f4b0e3267,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",2.32,49,2.14,56,1.7,23,61,0.1
Roybert Echeverria,7-1-0,http://ufcstats.com/fighter-details/20b13e96668caaa4,"5' 5""",125 lbs.,"67""",Switch,"Aug 21, 1995",2.95,53,2.52,57,0.0,0,71,2.6
Mark Eddiva,6-3-0,http://ufcstats.com/fighter-details/40ff198adda94b9f,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",3.37,45,2.98,54,1.45,22,63,0.0
Frankie Edgar,23-11-1,http://ufcstats.com/fighter-details/f2688492b9a525a3,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.77,40,2.82,65,2.29,31,65,0.3
Abdul-Kerim Edilov,17-4-0,http://ufcstats.com/fighter-details/37e03538c960bac6,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991",10.22,61,0.13,92,3.98,100,0,2.0
Johnny Eduardo,28-13-0,http://ufcstats.com/fighter-details/528c24b99fbaab79,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.95,39,3.22,63,0.22,20,58,0.4
Yves Edwards,42-22-1 (1 NC),http://ufcstats.com/fighter-details/5f04e3d58d9ce982,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42,2.34,66,0.76,53,69,0.7
Justin Edwards,9-5-0,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",2.68,42,3.32,51,2.14,26,27,1.0
Leon Edwards,22-6-0 (1 NC),http://ufcstats.com/fighter-details/f1fac969a1d70b08,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.6,54,2.44,52,1.25,37,63,0.4
Te Edwards,6-3-0,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990",1.5,41,4.15,44,0.72,100,44,0.0
Adli Edwards,4-1-0,http://ufcstats.com/fighter-details/e6904a03a66e711d,--,145 lbs.,--,,"Aug 28, 1989",0.0,0,0.0,0,0.0,0,0,0.0
Joselyne Edwards,17-6-0,http://ufcstats.com/fighter-details/f9ab66e67240db7b,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.61,53,3.24,50,1.43,40,61,0.6
Tom Egan,7-5-0,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01,"5' 11""",170 lbs.,--,Orthodox,--,0.0,0,3.91,50,0.0,0,28,0.0
Stephanie Egger,8-5-0,http://ufcstats.com/fighter-details/5e6294b37bbef029,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",2.2,46,2.48,52,2.48,42,50,0.6
Justin Eilers,19-7-1,http://ufcstats.com/fighter-details/27fc9218a3653e3c,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,43,5.66,49,0.82,25,50,0.0
Jon Olav Einemo,6-3-0,http://ufcstats.com/fighter-details/0577808d22dfe79c,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975",2.15,52,3.05,52,1.73,55,43,0.0
Per Eklund,14-5-1,http://ufcstats.com/fighter-details/58bc81376286b3d3,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 12, 1980",2.07,61,2.38,67,2.07,11,50,3.6
John Elam,2-0-0,http://ufcstats.com/fighter-details/22d80fb67e50ab0b,--,--,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Evan Elder,10-2-0,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997",5.66,50,4.94,57,0.48,15,40,0.5
Billy Elekana,10-2-0,http://ufcstats.com/fighter-details/07a74004d964c7f4,"6' 3""",205 lbs.,"77""",Southpaw,"May 28, 1995",2.71,56,3.59,46,0.85,22,0,0.8
John Paul Elias,3-1-0,http://ufcstats.com/fighter-details/e873203fd50542f6,"6' 4""",205 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Joao Elias,17-4-1 (1 NC),http://ufcstats.com/fighter-details/1a064688481f66e1,"5' 3""",125 lbs.,"64""",Southpaw,"Jan 08, 1995",0.4,50,6.47,20,0.0,0,50,0.0
Saul Elizondo,6-8-0,http://ufcstats.com/fighter-details/e295b96f135d758a,"5' 7""",135 lbs.,--,,"Jul 17, 1985",2.07,30,4.93,48,2.0,100,66,1.0
Darren Elkins,29-12-0,http://ufcstats.com/fighter-details/92a9aa9c93192871,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.4,38,3.34,51,2.87,34,56,1.1
Jake Ellenberger,31-15-0,http://ufcstats.com/fighter-details/d81ac739417d7f53,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39,2.83,60,2.04,47,86,0.4
Joe Ellenberger,15-2-0,http://ufcstats.com/fighter-details/8e8e4487c621aa1c,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47,3.45,48,3.17,40,0,1.1
Tim Elliott,22-13-1,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.37,44,2.65,57,3.71,47,59,1.1
Oban Elliott,12-4-0,http://ufcstats.com/fighter-details/6b56e94a59b7b134,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997",3.62,48,2.24,61,1.52,40,52,0.0
Eddy Ellis,21-16-1 (1 NC),http://ufcstats.com/fighter-details/e60d773a0a42048a,"5' 9""",170 lbs.,--,Orthodox,"Jul 07, 1983",3.4,69,1.53,68,4.0,66,50,2.0
Lisa Ellis,15-11-0,http://ufcstats.com/fighter-details/77350fd0e6d1dba8,"5' 4""",115 lbs.,--,,"Nov 15, 1982",1.68,48,2.32,57,4.19,63,50,0.6
Elisha Ellison,5-2-0,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce,"6' 0""",238 lbs.,"78""",Orthodox,"Mar 05, 1997",1.57,33,15.13,40,0.0,0,0,0.0
Anna Elmose,3-2-0,http://ufcstats.com/fighter-details/1536a25e16fc299b,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984",3.68,49,4.64,56,0.0,0,33,0.0
Cameron Else,10-6-0,http://ufcstats.com/fighter-details/5f3da9a9610d8969,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987",1.99,40,8.09,51,0.0,0,0,0.0
Aaron Ely,5-2-0,http://ufcstats.com/fighter-details/1741343f0ca34dd5,"5' 8""",135 lbs.,--,,"Mar 18, 1989",0.82,15,0.66,69,2.47,100,50,4.9
Sovannahry Em,3-1-0,http://ufcstats.com/fighter-details/45c8fed13a62fe92,"5' 4""",135 lbs.,--,,"Jun 26, 1992",0.0,0,0.0,0,0.0,0,0,0.0
Ramazan Emeev,20-6-0,http://ufcstats.com/fighter-details/abd5fb12437eda21,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.53,45,2.14,65,2.37,29,66,0.7
Aleksander Emelianenko,23-7-0,http://ufcstats.com/fighter-details/f54200f1dfb9b5d4,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981",2.75,41,1.7,65,2.32,72,66,0.9
Fedor Emelianenko,36-5-0 (1 NC),http://ufcstats.com/fighter-details/b8da6f5c80ae2d15,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,51,1.0,63,2.0,63,82,1.9
Rob Emerson,18-12-0 (1 NC),http://ufcstats.com/fighter-details/dc0f07928009a127,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,30,2.83,64,2.02,52,65,0.4
Jamall Emmers,22-8-0,http://ufcstats.com/fighter-details/e00a3dee329a51f7,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.1,49,3.92,57,2.59,53,81,0.3
Josh Emmett,19-7-0,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",3.67,35,4.52,59,1.07,36,43,0.1
Marius Enache,3-3-0,http://ufcstats.com/fighter-details/e3f443e4cbc3da8f,"5' 11""",155 lbs.,--,,"Oct 16, 1975",1.71,34,0.66,84,3.94,100,0,3.9
Kevin Engel,5-1-0,http://ufcstats.com/fighter-details/d2f310b5b072e986,"6' 2""",170 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Kolton Englund,9-4-0,http://ufcstats.com/fighter-details/4122da4f791b2f4f,"5' 10""",155 lbs.,"69""",Orthodox,"Jul 09, 1993",2.31,25,11.54,40,0.0,0,0,0.0
Oliver Enkamp,7-2-0,http://ufcstats.com/fighter-details/330bafba312face4,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,36,3.55,37,0.87,16,0,0.0
Alex Enlund,14-2-0 (1 NC),http://ufcstats.com/fighter-details/d238217e0f8ea8e1,"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987",0.0,0,0.0,0,0.0,0,0,0.0
Kenny Ento,14-15-0,http://ufcstats.com/fighter-details/daf9be103c1edbbd,"6' 2""",192 lbs.,--,,--,8.41,79,0.0,100,5.49,100,0,11.0
Ian Entwistle,9-3-0,http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8,"5' 5""",135 lbs.,--,Orthodox,"Nov 19, 1986",0.11,7,7.36,31,0.0,0,0,12.1
Andy Enz,10-4-0,http://ufcstats.com/fighter-details/993d385f5a475375,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,23,5.32,57,0.0,0,58,0.0
Won Jin Eoh,5-5-1,http://ufcstats.com/fighter-details/bc7cf284c1c2f16e,"5' 7""",160 lbs.,--,Orthodox,--,3.74,44,3.58,46,0.0,0,50,0.0
Yuji Ephoevi-Ga,11-1-0,http://ufcstats.com/fighter-details/919fc4bc3edf4de7,"6' 0""",155 lbs.,"75""",Switch,"Oct 19, 1999",2.67,71,2.6,44,0.0,0,60,0.0
Josh Epps,6-7-0,http://ufcstats.com/fighter-details/984b0c4c6e773a1c,--,130 lbs.,--,,"Aug 23, 1986",0.0,0,0.0,0,0.0,0,0,0.0
Abdellah Er-Ramy,7-2-0,http://ufcstats.com/fighter-details/b593cd58b0afffb0,"6' 0""",185 lbs.,"74""",Orthodox,"Sep 19, 1996",0.0,0,8.4,0,0.0,0,0,0.0
Steve Erceg,13-4-0,http://ufcstats.com/fighter-details/32ab52e5de93092d,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",4.0,45,3.79,52,1.15,27,62,0.4
Tom Erikson,9-4-1,http://ufcstats.com/fighter-details/7b9a85e5ff31ef47,"6' 3""",280 lbs.,--,Orthodox,"Jul 06, 1964",0.94,47,1.87,25,4.68,60,100,6.2
Konstantin Erokhin,9-3-0,http://ufcstats.com/fighter-details/22061ff217907c78,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983",1.07,36,1.83,47,0.0,0,70,0.0
Julian Erosa,31-13-0,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.21,48,6.27,48,1.78,43,61,0.7
Jarno Errens,14-6-1,http://ufcstats.com/fighter-details/082eba4cd80f736f,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",3.29,44,3.29,61,0.0,0,33,0.3
